day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine
1,1015,40,38,30,20,30,10,0,10
2,1020,2,-5,-10,-6,85,80,5,3
3,1005,36,33,29,22,40,15,10,8
4,1025,18,15,12,10,60,20,0,5
5,1010,25,22,18,17,50,30,0,6
6,1018,10,8,5,4,70,50,15,4
7,1007,30,28,24,21,35,5,12,9
8,1020,15,12,10,8,55,60,0,7
9,1009,40,37,33,25,20,0,20,11
10,1012,28,25,23,21,65,35,0,5
11,1011,33,32,27,19,55,10,0,6
12,1015,22,20,17,13,60,15,5,8
13,1010,35,33,28,20,45,30,8,7
14,1008,12,10,7,5,70,60,20,3
15,1020,27,25,22,19,50,40,0,6
16,1017,16,14,11,9,65,45,12,4
17,1009,32,30,26,21,55,20,5,8
18,1013,19,17,15,13,75,35,25,2
19,1007,28,26,22,20,60,10,0,7
20,1020,14,12,9,6,80,50,30,1
21,1010,29,26,24,18,50,20,2,5
22,1015,18,15,13,10,72,60,20,4
23,1006,22,19,16,14,65,15,10,9
24,1011,30,28,25,21,45,30,0,6
25,1008,10,7,4,2,80,70,5,3
26,1019,36,34,30,24,40,35,10,7
27,1013,25,22,20,18,60,25,0,6
28,1007,12,10,8,7,75,45,8,4
29,1014,20,18,15,14,50,20,15,6
30,1015,40,38,35,25,25,10,0,12
31,1021,5,2,-2,-4,90,90,60,2
32,1007,33,30,28,22,55,30,20,5
33,1010,15,13,11,8,70,55,5,4
34,1009,31,29,26,21,60,10,0,6
35,1015,25,23,20,18,60,40,8,7
36,1020,16,14,12,10,75,50,0,5
37,1008,27,24,22,20,50,25,10,7
38,1010,28,25,23,21,60,35,15,6
39,1015,10,8,5,4,80,60,25,3
40,1019,38,35,33,28,40,20,15,8
41,1006,14,12,10,7,70,45,0,5
42,1023,30,28,26,24,50,15,5,9
43,1008,40,37,34,29,35,5,20,10
44,1012,20,18,15,14,65,30,10,6
45,1009,22,20,17,16,60,20,5,7
46,1011,35,32,28,23,45,15,0,6
47,1016,10,8,6,4,75,50,18,2
48,1007,30,28,26,23,40,25,0,8
49,1015,20,18,16,14,55,30,12,4
50,1020,18,15,13,10,70,60,5,3
